date,cap
2020-10-26,44576504573.78982
2020-10-29,43782246356.04649
2020-11-01,44888307221.40616
2020-11-04,45559668259.44851
2020-11-07,49380744877.99334
2020-11-10,50981825541.89314
2020-11-13,53829432990.090485
2020-11-16,52182517296.90649
2020-11-19,53528035617.425156
2020-11-22,63361036975.498276
2020-11-25,64816875592.54139
2020-11-28,61152393529.21103
2020-11-30,69873714778.47928
2020-12-03,70110808537.54408
2020-12-06,68452719868.01412
2020-12-09,65242758700.21787
2020-12-12,64706942225.99528
2020-12-15,67096668321.69698
2020-12-18,74575304994.55286
2020-12-21,69475834114.53963
2020-12-24,69704465559.66194
2020-12-27,77828069141.04636
2020-12-30,85722581848.92598
2021-01-02,88367612520.27962
2021-01-05,125545618320.15997
2021-01-07,139921813991.6793
2021-01-10,144147690008.65298
2021-01-13,129175741557.3657
2021-01-16,140969419371.64862
2021-01-19,157454089944.8793
2021-01-22,141409699225.45984
2021-01-25,151516304275.35352
2021-01-28,152494242714.12
2021-01-31,150543956657.31
2021-02-03,190213812447.49
2021-02-06,192221649234.01
2021-02-09,202625894958.75
2021-02-12,211353402277.61
2021-02-14,206994111569.56
2021-02-17,212042961268.08
2021-02-20,220274162486.18
2021-02-23,180251030148.47
2021-02-26,166055498546.28
2021-03-01,179746905786
2021-03-04,177191062441.39
2021-03-07,198088541069.55
2021-03-10,206899711010.48
2021-03-13,221411849362.86
2021-03-16,207943962561.62
2021-03-19,209243467429.34
2021-03-21,205906557856.47
2021-03-24,183540070276.94
2021-03-27,197787142643.22
2021-03-30,212788788570.88
2021-04-02,247132282843.96
2021-04-05,243143128759.79
2021-04-08,241000078757.85
2021-04-11,249059103191.91
2021-04-14,281183637540.49
2021-04-17,270861474696.88
2021-04-20,269259968844.18
2021-04-23,273212191168.81
2021-04-26,293069092285.99
2021-04-28,317645696234.41
2021-05-01,340840444354.06
2021-05-04,376577399573.76
2021-05-07,403465702897.42
2021-05-10,457761219806.87
2021-05-13,430445282301.28
2021-05-16,415801534961.9
2021-05-19,285298709244.81
2021-05-22,266263966983.58
2021-05-25,314033309034.22
2021-05-28,280864129342.71
2021-05-31,315217277482.81
2021-06-03,331608133101.08
2021-06-05,305598725248.73
2021-06-08,292557075207.19
2021-06-11,273631367134.69
2021-06-14,295112636977.77
2021-06-17,275942664676.82
2021-06-20,261416943133.97
2021-06-23,231625292666.93
2021-06-26,213021180909.06
2021-06-29,251715870101.04
2021-07-02,250552745326.39
2021-07-05,256297846064.35
2021-07-08,247225603541.86
2021-07-11,249601597225.15
2021-07-13,226371110382.25
2021-07-16,219480196483.44
2021-07-19,212189036786.93
2021-07-22,236545322692.78
2021-07-25,256042010286.39
2021-07-28,268421055913.65
2021-07-31,296532997873.12
2021-08-03,292673137937
2021-08-06,338237757599.68
2021-08-09,370765447257.17
2021-08-12,356323695445.66
2021-08-15,387728432649.61
2021-08-18,353837223420.22
2021-08-20,385190199131.35
2021-08-23,389112198984.67
2021-08-26,363573005236.06
2021-08-29,378558550046.26
2021-09-01,450017458312.04
2021-09-04,456394981337.27
2021-09-07,402365928842.67
2021-09-10,377261165406.28
2021-09-13,386087569776.34
2021-09-16,419815044703.82
2021-09-19,391520172702.2
2021-09-22,362060838608.72
2021-09-24,344941570041.98
2021-09-27,345350983221.6
2021-09-30,353421264860.04
2021-10-03,402619122253.95
2021-10-06,421867592041.96
2021-10-09,421440173778.4
2021-10-12,411781081166.19
2021-10-15,455566504000.02
2021-10-18,442286890171.49
2021-10-21,478500948879.97
2021-10-24,482628847456.41
2021-10-27,464175061360.67
2021-10-30,511045675622.72
2021-11-01,511040780622.95
2021-11-04,536356841434.36
2021-11-07,546381671971.19
2021-11-10,548414296327.06
2021-11-13,550408539446.39
2021-11-16,499090512786.75
2021-11-19,508960524907.89
2021-11-22,484275218142.14
2021-11-25,506472632400.82
2021-11-28,509016708179.06
2021-12-01,543871223794.94
2021-12-04,488613645061.96
2021-12-07,511968714781.49
2021-12-09,488911369092.64
2021-12-12,490816832310.18
2021-12-15,477201243361.62
2021-12-18,470530555465.84
2021-12-21,477751386114.63
2021-12-24,481210199545.08
2021-12-27,480134213400.66
2021-12-30,441792512826.8
2022-01-02,455713570380.85
2022-01-05,422636379036.13
2022-01-08,368192421486.96
2022-01-11,385726806147.91
2022-01-14,394425210961.65
2022-01-16,399392136112.46
2022-01-19,369113617588.73
2022-01-22,286866655647.36
2022-01-25,293019902304.06
2022-01-28,303999533600.72
2022-01-31,320959888865.31
2022-02-03,319980125796.27
2022-02-06,365288302066.81
2022-02-09,387161915315.85
2022-02-12,348785733007.45
2022-02-15,380300250254.05
2022-02-18,333274482393.4
2022-02-21,308026942925.47
2022-02-23,310077026339.98
2022-02-26,333024181662.98
2022-03-01,356060928141.81
2022-03-04,313604105838.56
2022-03-07,299399838913.97
2022-03-10,312725132202.93
2022-03-13,302142844336.01
2022-03-16,332615747238.23
2022-03-19,353637851553.37
2022-03-22,356983458903.94
2022-03-25,373143966536.83
2022-03-28,400900140647.22
2022-03-31,394425928251.04
2022-04-02,414159902496.97
2022-04-05,410298423739.01
2022-04-08,384004266017.44
2022-04-11,358739023178.63
2022-04-14,363537133350.8
2022-04-17,360466921073.66
2022-04-20,370747899752.64
2022-04-23,354042065765.69
2022-04-26,338514769949.36
2022-04-29,339508249528.82
2022-05-02,344664213658.6
2022-05-05,331722438859.99
2022-05-07,318142976736.13
2022-05-10,282924938115.3
2022-05-13,243274721466.96
2022-05-16,244357879748.28
2022-05-19,243906956357.43
2022-05-22,246986847793.11
2022-05-25,235174141323.92
2022-05-28,216813374963.24
2022-05-31,235021820715.09
2022-06-03,214853197852.79
2022-06-06,225114630766.06
2022-06-09,216770182920.59
2022-06-12,175086938731.69
2022-06-14,146821604379.69
2022-06-17,131697196726.13
2022-06-20,136722871083.63
2022-06-23,138670376992.79
2022-06-26,145556215206.34
2022-06-29,133353794240.87
2022-07-02,129459761679.57
2022-07-05,137763639218.72
2022-07-08,148494701910.38
2022-07-11,133322814435.65
2022-07-14,144828136302.19
2022-07-17,162763136859.6
2022-07-20,184901273324.09
2022-07-22,187035568058.3
2022-07-25,175898851084.4
2022-07-28,210050435904.08
2022-07-31,204771722888.53
2022-08-03,197208540574.77
