open;high;low;close;volume;marketCap;timestamp
231.648;231.755;218.123;230.215;2097310000;23435751842;"2018-09-06T00:00:00.000Z"
198.385;207.666;188.306;196.924;1585980000;20058708800;"2018-09-09T00:00:00.000Z"
185.423;185.587;170.257;183.331;1874850000;18685319378.4;"2018-09-12T00:00:00.000Z"
209.814;226.604;209.606;223.074;1670490000;22749647320.9;"2018-09-15T00:00:00.000Z"
197.095;213.357;195.934;209.975;1800640000;21426628308.9;"2018-09-18T00:00:00.000Z"
225.251;248.388;221.567;246.584;2836200000;25177561991.2;"2018-09-21T00:00:00.000Z"
244.844;245.108;227.49;228.73;1748740000;23368514474.6;"2018-09-24T00:00:00.000Z"
215.44;230.607;212.654;228.494;2030320000;23358464738.5;"2018-09-27T00:00:00.000Z"
231.329;236.986;228.445;232.848;1765560000;23817805502.1;"2018-09-30T00:00:00.000Z"
226.407;226.458;213.971;220.489;1683930000;22567089085.9;"2018-10-03T00:00:00.000Z"
222.267;228.319;220.957;227.601;1547330000;23304234601.1;"2018-10-05T00:00:00.000Z"
226.509;230.765;224.557;229.255;1470740000;23487672999.7;"2018-10-08T00:00:00.000Z"
225.61;225.61;189.283;189.499;2167620000;19426181717.3;"2018-10-11T00:00:00.000Z"
199.691;201.827;195.243;195.715;1169260000;20075397006.8;"2018-10-14T00:00:00.000Z"
210.217;211.125;205.928;207.083;1444130000;21254117735.7;"2018-10-17T00:00:00.000Z"
203.515;206.222;203.085;205.43;1238780000;21097037288.7;"2018-10-20T00:00:00.000Z"
204.016;205.151;201.911;204.336;1237490000;20997181867.2;"2018-10-23T00:00:00.000Z"
202.336;204.78;201.551;203.329;1161310000;20906130835.2;"2018-10-26T00:00:00.000Z"
205.174;205.597;195.734;197.247;1517230000;20292811277.7;"2018-10-29T00:00:00.000Z"
197.537;203.754;197.328;198.872;1336700000;20472105763.9;"2018-11-01T00:00:00.000Z"
200.158;211.272;198.986;207.486;1749300000;21371416840.4;"2018-11-04T00:00:00.000Z"
218.899;221.652;216.796;217.183;1927830000;22383497661.8305;"2018-11-07T00:00:00.000Z"
211.987;213.316;209.515;210.074;1554750000;21659329261.3419;"2018-11-09T00:00:00.000Z"
211.513;212.623;208.924;210.418;1452380000;21707637539.5254;"2018-11-12T00:00:00.000Z"
181.899;184.251;170.189;180.806;2638410000;18663659629.0191;"2018-11-15T00:00:00.000Z"
174.175;179.152;174.175;177.067;1810920000;18288411984.3956;"2018-11-18T00:00:00.000Z"
131.142;138.89;125.758;136.701;2685930000;14127420909.3746;"2018-11-21T00:00:00.000Z"
123.304;126.788;110.825;113.494;1800960000;11735901798.827;"2018-11-24T00:00:00.000Z"
107.913;111.842;102.452;110.01;2320010000;11382216772.81;"2018-11-27T00:00:00.000Z"
117.728096299;119.423767389;111.744962142;113.171421096;2020748395.52;11716096075.5861;"2018-11-30T00:00:00.000Z"
116.378758099;116.61906831;107.415653907;108.925017829;1772756192.75;11282911403.5501;"2018-12-03T00:00:00.000Z"
102.450592687;104.103496045;91.7610561566;91.7610561566;2310716932.45;9510417097.19255;"2018-12-06T00:00:00.000Z"
92.0354326922;98.9000301323;91.0312776727;95.1420594843;1875567179.89;9866414731.76198;"2018-12-09T00:00:00.000Z"
88.610703388;92.2405522778;88.2635593472;90.5933019065;1533050103.47;9400044026.00045;"2018-12-12T00:00:00.000Z"
84.279694394;85.3427425756;82.8298902883;84.4408095289;1496176898.3;8766638124.2495;"2018-12-15T00:00:00.000Z"
85.3821119977;96.8050539407;85.3821119977;95.1338271163;2101453023.8;9880456238.6125;"2018-12-17T00:00:00.000Z"
101.090438108;117.170126749;100.63995804;116.21687011;3063842618.2;12076674310.4854;"2018-12-20T00:00:00.000Z"
117.273897972;133.075301961;117.273897972;130.765259805;3579715060.8;13595887731.6921;"2018-12-23T00:00:00.000Z"
129.888822727;136.677248539;126.29290758;131.865627374;2720469126.47;13717858345.6728;"2018-12-26T00:00:00.000Z"
