date,cap
2022-04-26,725113482674.14
2022-04-29,734589762489.81
2022-05-02,733170725790.51
2022-05-05,696088266356.37
2022-05-07,675729532873.68
2022-05-10,590565398299.36
2022-05-13,557525025253.19
2022-05-16,568643328349.1
2022-05-19,577316228899.3
2022-05-22,577568895835.72
2022-05-25,563145244691.91
2022-05-28,552958193308.48
2022-05-31,605797887876.49
2022-06-03,566088081691.13
2022-06-06,597927548347.45
2022-06-09,574029141738.88
2022-06-12,510252464820.78
2022-06-14,423429131864.08
2022-06-17,390391528176.49
2022-06-20,392888024958.72
2022-06-23,402219959760.78
2022-06-26,401157940864.2
2022-06-29,383598071095.42
2022-07-02,367208487556.97
2022-07-05,385349780369.64
2022-07-08,414819851681.33
2022-07-11,381264246558.41
2022-07-14,392755738689.37
2022-07-17,396808327004.88
2022-07-20,443696738856.27
2022-07-22,433866028177.06
2022-07-25,408078695877.99
2022-07-28,455565748691.77
2022-07-31,445941074223.04
2022-08-03,436633304289.21
2022-08-06,438890198160.7
2022-08-09,442835162483.49
2022-08-12,466578839477.74
2022-08-15,461560003436.79
2022-08-18,443947256035.75
2022-08-21,411906673576.29
2022-08-24,409308514098.09
2022-08-27,383478483268.59
2022-08-29,388422039679.33
2022-09-01,385208305831.58
2022-09-04,382576542382.13
2022-09-07,369299496559.04
2022-09-10,415117548315.38
2022-09-13,388682319976.46
2022-09-16,378693173324.34
2022-09-19,374373522207.39
2022-09-22,371923967755.44
2022-09-25,360259346858.07
2022-09-28,372279603227.33
2022-10-01,370142714486.9
2022-10-04,389843287588.34
2022-10-06,382574032285.78
2022-10-09,372876821416.38
2022-10-12,367391447229.96
2022-10-15,365722351004.5
2022-10-18,370891718468.24
2022-10-21,367839754255.23
2022-10-24,371211779873.32
2022-10-27,389306507854.33
2022-10-30,396075135322.21
2022-11-02,386993271473.89
2022-11-05,408613690153.42
2022-11-08,356030188152.67
2022-11-11,327139766936.22
2022-11-13,314093257178.25
2022-11-16,320208159886.93
2022-11-19,321061621175.61
2022-11-22,311078520948.59
2022-11-25,317499392769.32
2022-11-28,311686396568.46
2022-12-01,326142124579.08
2022-12-04,329323845088.74
2022-12-07,323943465219.08
2022-12-10,329389313682.63
2022-12-13,341988994228.35
2022-12-16,320225997953.71
2022-12-18,322379914497.22
2022-12-21,323570505189.58
2022-12-24,324190184505.64
2022-12-27,321717198701.45
2022-12-30,319559502979.58
2023-01-02,321262452550.73
2023-01-05,324163886549.58
2023-01-08,329114546384.43
2023-01-11,346303640718.24
2023-01-14,404052157141.45
2023-01-17,407681958151.49
2023-01-20,436928964721.29
2023-01-23,441960667796.84
2023-01-25,445539806080.32
2023-01-28,443936922524.46
2023-01-31,446082285297.19
2023-02-03,452119476083.72
2023-02-06,438893838655.36
2023-02-09,420806214870.32
2023-02-12,420274300806.28
2023-02-15,468947166603.22
2023-02-18,475459130854.86
2023-02-21,471577656114.25
2023-02-24,447747058643.64
2023-02-27,454075216419.73
2023-03-02,453226586695.74
2023-03-04,431607268094.04
2023-03-07,429090671120
2023-03-10,389890609883.9
2023-03-13,467417380966.85
2023-03-16,484005642386.83
2023-03-19,541771324421.11
2023-03-22,527720639354.35
2023-03-25,531424045822.58
2023-03-28,527117850100.66
2023-03-31,550593053896.62
2023-04-03,537360742269.69
2023-04-06,542349825341.83
2023-04-09,548015190714.46
2023-04-11,584854674446.17
2023-04-14,589786626446.89
2023-04-17,569735854496.74
2023-04-20,546611911812.66
2023-04-23,534020212996.71
2023-04-26,550180352607.55
2023-04-29,566240497928.76
2023-05-02,555325979264.04
2023-05-05,571935354879.7
2023-05-08,536375393861.25
2023-05-11,523022981321.22
2023-05-14,521742220416.76
2023-05-17,530890147614.67
2023-05-19,521083278041.79
2023-05-22,520401926578.4
2023-05-25,513207340509.25
2023-05-28,544483610242.01
2023-05-31,527773175252.01
2023-06-03,525043616807.54
2023-06-06,528291607015.54
2023-06-09,513657047934.28
2023-06-12,502523702241.22
2023-06-15,496264527631
2023-06-18,511079706782.86
2023-06-21,582785323709.11
2023-06-23,595803665519.79
